                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.81759,                0.60553,                0.99581,                0.96087,                0.97531,                0.98371,                 0.8207,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.83861,                 0.6422,                 1.0194,                0.97443,                0.96296,                0.98412,                0.81337,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.75941,                0.58729,                0.99302,                0.98749,                0.97484,                0.98506,                0.82606,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.77548,                0.58125,                 0.9848,                0.99835,                0.97531,                0.97862,                0.81496,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.74493,                0.58676,                0.97662,                0.97392,                0.95062,                0.98041,                0.80168,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.74649,                0.57834,                0.98766,                0.98664,                0.98765,                0.98403,                0.83264,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.79122,                0.59351,                0.99731,                0.96331,                0.98765,                  0.983,                 0.8215,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.80275,                0.57591,                 1.0147,                0.96144,                0.95062,                0.98248,                0.78432,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.75124,                0.54726,                0.96572,                 0.9734,                0.97531,                0.98161,                0.81549,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.72261,                0.55662,                0.95251,                0.97501,                0.97531,                0.98056,                0.81839,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.77538,                0.56376,                0.98734,                 0.9708,                0.98765,                0.98276,                0.83478,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.73048,                0.53539,                0.96485,                0.97234,                0.98765,                0.98463,                0.84517,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.69715,                0.53012,                0.95397,                0.98593,                0.98765,                0.98543,                0.82821,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.71631,                0.52895,                0.96277,                0.98399,                0.98765,                0.98591,                0.83657,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.73095,                0.56651,                0.96933,                0.97158,                0.98765,                0.98423,                0.84824,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
